City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,khatanga,100,RU,1573517458,97,71.98,102.47,-0.12,1.97
1,parkes,3,AU,1573517458,10,-33.14,148.18,88.0,1.01
2,zyryanka,95,RU,1573517458,96,65.73,150.89,-1.41,3.2
3,arraial do cabo,90,BR,1573517458,94,-22.97,-42.02,71.6,8.05
4,susa,99,CO,1573517458,99,5.45,-73.81,61.23,1.12
5,atuona,27,PF,1573517458,62,-9.8,-139.03,80.37,4.12
6,hermanus,100,ZA,1573517458,95,-34.42,19.24,64.0,4.0
7,remiremont,90,FR,1573517458,93,48.02,6.59,42.8,8.05
8,vaini,0,IN,1573517458,85,15.34,74.49,65.55,5.97
9,hobart,75,AU,1573517426,56,-42.88,147.33,57.0,17.22
10,tripoli,40,GR,1573517458,87,37.51,22.37,64.99,3.36
11,vardo,1,US,1573517458,41,39.62,-77.74,60.8,5.82
12,tarko-sale,100,RU,1573517458,84,64.92,77.78,-0.01,14.32
13,rosetta,0,EG,1573517459,88,31.4,30.42,71.6,5.82
14,chegdomyn,26,RU,1573517459,78,51.13,133.04,8.37,8.21
15,mataura,28,NZ,1573517459,43,-46.19,168.86,59.68,2.8
16,bredasdorp,100,ZA,1573517459,88,-34.53,20.04,64.0,12.75
17,new norfolk,75,AU,1573517459,56,-42.78,147.06,57.0,17.22
18,puerto ayora,1,EC,1573517459,57,-0.74,-90.35,78.8,16.11
19,saint-pierre,38,FR,1573517459,100,48.95,4.24,39.2,10.29
20,ilulissat,100,GL,1573517180,41,69.22,-51.1,39.2,14.99
21,merke,0,KZ,1573517459,79,42.87,73.19,30.9,4.94
22,mogadishu,56,SO,1573517459,79,2.04,45.34,81.54,16.62
23,jamestown,19,AU,1573517459,46,-33.21,138.6,56.57,16.42
24,busselton,0,AU,1573517459,61,-33.64,115.35,60.01,3.0
25,tecoanapa,75,MX,1573517460,83,16.99,-99.26,84.2,3.36
26,mahon,40,IE,1573517460,86,51.89,-8.4,39.99,13.87
27,dikson,87,RU,1573517460,94,73.51,80.55,4.33,4.92
28,vila velha,0,BR,1573517460,74,-3.71,-38.6,86.0,10.29
29,georgetown,75,GY,1573517367,79,6.8,-58.16,84.2,6.93
30,pevek,100,RU,1573517460,88,69.7,170.27,12.38,2.44
31,milkovo,40,BG,1573517460,87,41.53,24.68,64.0,6.93
32,akhaldaba,17,GE,1573517460,75,41.68,44.66,41.0,8.05
33,cumra,52,TR,1573517460,50,37.57,32.77,46.4,1.12
34,carnarvon,0,ZA,1573517460,49,-30.97,22.13,57.99,7.83
35,longyearbyen,75,NO,1573517460,64,78.22,15.63,33.8,23.04
36,east london,100,ZA,1573517460,87,-33.02,27.91,69.44,26.84
37,port alfred,100,ZA,1573517460,98,-33.59,26.89,62.01,7.0
38,ribeira grande,51,PT,1573517461,82,38.52,-28.7,61.36,6.29
39,khasan,19,RU,1573517461,45,42.43,130.64,40.33,10.45
40,belyy yar,88,RU,1573517461,71,53.6,91.39,8.6,2.24
41,tuktoyaktuk,90,CA,1573517461,85,69.44,-133.03,15.8,16.11
42,malpe,40,IN,1573517461,94,13.35,74.72,75.2,10.58
43,cape town,90,ZA,1573517274,93,-33.93,18.42,64.99,4.7
44,rikitea,100,PF,1573517461,93,-23.12,-134.97,68.59,35.99
45,lebu,20,ET,1573517461,62,8.96,38.73,53.6,6.93
46,lasa,0,CY,1573517461,39,34.92,32.53,69.8,6.93
47,pinawa,39,CA,1573517461,93,50.15,-95.88,0.97,5.06
48,lavrentiya,100,RU,1573517461,89,65.58,-170.99,33.28,14.25
49,sinnamary,1,GF,1573517461,83,5.38,-52.96,81.61,13.49
50,hamilton,90,CA,1573517191,85,43.26,-79.87,28.0,14.99
51,whitehorse,75,CA,1573517461,84,60.72,-135.06,10.99,3.36
52,flin flon,20,CA,1573517461,65,54.77,-101.88,6.8,12.75
53,punta arenas,2,CL,1573517461,71,-53.16,-70.91,50.0,5.82
54,cherskiy,92,RU,1573517461,75,68.75,161.3,24.94,4.29
55,hithadhoo,64,MV,1573517461,79,-0.6,73.08,81.54,12.57
56,tilichiki,100,RU,1573517462,95,60.47,166.1,27.59,5.23
57,atyrau,11,KZ,1573517462,93,47.1,51.92,37.4,11.18
58,santiago del estero,100,AR,1573517462,42,-27.8,-64.26,81.12,11.97
59,bonthe,52,SL,1573517462,81,7.53,-12.5,79.16,6.73
60,yaan,100,NG,1573517462,79,7.38,8.57,78.58,10.2
61,albany,90,US,1573517208,74,42.65,-73.75,41.0,10.29
62,baykit,99,RU,1573517462,97,61.68,96.39,-12.41,1.92
63,esperance,90,AU,1573517462,67,-33.86,121.89,57.2,6.93
64,kulhudhuffushi,79,MV,1573517463,68,6.62,73.07,82.36,2.48
65,port blair,57,IN,1573517463,69,11.67,92.75,81.7,6.69
66,republic,40,US,1573517193,45,48.65,-118.74,46.4,5.82
67,ushuaia,20,AR,1573517175,66,-54.81,-68.31,50.0,20.8
68,victoria,75,BN,1573517463,78,5.28,115.24,82.4,8.05
69,ballina,25,IE,1573517463,83,54.11,-9.15,42.01,4.0
70,piranshahr,0,IR,1573517463,29,36.7,45.14,37.08,6.98
71,sao joao da barra,100,BR,1573517246,91,-21.64,-41.05,71.8,20.11
72,ust-tsilma,60,RU,1573517463,96,65.44,52.15,3.33,4.16
73,kodiak,1,US,1573517463,61,39.95,-94.76,19.0,13.87
74,luderitz,1,NA,1573517463,100,-26.65,15.16,60.8,4.7
75,husavik,41,CA,1573517464,79,50.56,-96.99,3.99,3.0
76,kapaa,1,US,1573517464,66,22.08,-159.32,84.2,9.17
77,santa rosa,92,AR,1573517167,39,-36.62,-64.29,79.21,10.98
78,alofi,75,NU,1573517464,69,-19.06,-169.92,82.4,5.82
79,talnakh,75,RU,1573517464,84,69.49,88.39,1.4,2.24
80,banda aceh,100,ID,1573517464,91,5.56,95.32,73.74,2.8
81,avarua,5,CK,1573517464,74,-21.21,-159.78,78.8,19.46
82,dingle,97,PH,1573517464,87,11.0,122.67,77.72,8.93
83,kupang,20,ID,1573517464,62,-10.16,123.6,86.0,4.7
84,ust-barguzin,100,RU,1573517464,81,53.41,109.03,11.08,12.03
85,kortkeros,75,RU,1573517464,95,61.81,51.56,32.0,4.47
86,conde,6,BR,1573517464,77,-11.81,-37.61,79.21,14.79
87,hofn,100,IS,1573517465,73,64.25,-15.21,41.76,24.96
88,darhan,100,MN,1573517465,58,49.49,105.92,8.98,15.14
89,narsaq,89,GL,1573517465,84,60.91,-46.05,32.0,16.11
90,hilo,40,US,1573517465,58,19.71,-155.08,86.0,9.17
91,tocopilla,99,CL,1573517465,37,-22.09,-70.2,57.04,1.39
92,zhezkazgan,6,KZ,1573517465,29,47.8,67.71,25.59,6.17
93,blind river,40,CA,1573517465,57,46.19,-82.96,21.2,5.82
